,RPI_FGM_ATT,RPI_FGM_LAW,RPI_FGM_PRACT,RPI_MW_PRACT,RPI_RA_LAW,RPI_RA_PRACT,RPI_VAW_ATT,RPI_VAW_LAW,RPI_VAW_PRACT,BCA_NGDPD,GGR_NGDP,GGXWDG_NGDP,GGX_NGDP,LP,NGDPRPPPPC,NGDP_FY,NGDP_RPCH,NGSD_NGDP,NID_NGDP,PCPIPCH,PPPEX,PPPSH,TM_RPCH,TX_RPCH,Region_encode,Loc_encode,Inc_ordinal,LOCATION
0,0.0,1.0,0.0,100.6,0.0,38.0,25.2,0.75,34.8,6.079,21.179,113.554,20.403,30.128,7043.65,30833.45,-0.535,26.923,20.844,17.079,139.415,0.164,-11.38,-5.925,0,1,2,AGO
1,0.0,0.0,0.0,101.2,0.75,29.7,72.9,0.5,46.7,-11.562,22.376,60.33,28.771,11.529,751.762,5559.59,1.842,7.724,19.286,-0.709,615.481,0.007,45.588,-15.813,0,10,1,BDI
2,3.4,0.25,9.2,103.1,0.5,33.1,36.0,0.5,68.6,-4.034,14.062,41.23,14.601,11.814,3283.84,8432.25,6.866,21.596,25.63,-0.933,208.557,0.03,-8.378,-12.058,0,12,1,BEN
3,9.3,0.25,75.8,103.5,0.5,29.1,43.5,0.75,11.5,-3.276,20.087,42.017,23.495,20.321,2178.32,9369.19,5.699,23.383,26.659,-3.233,203.083,0.034,-2.652,-0.052,0,13,1,BFA
4,0.0,0.0,0.0,102.1,0.25,9.6,0.0,0.75,0.0,-8.419,28.4,16.253,36.976,2.298,16386.87,176.998,2.993,23.155,29.833,2.745,4.547,0.029,11.939,-7.091,0,26,3,BWA
5,11.3,0.25,24.2,100.2,0.25,27.0,79.6,0.25,29.8,-4.929,18.348,47.179,16.924,4.745,945.181,1333.99,2.97,9.74,14.668,2.685,285.395,0.003,8.668,-1.782,0,27,1,CAF
6,13.8,0.25,36.7,101.2,0.75,30.5,47.9,0.75,25.9,-2.304,15.04,38.777,17.329,26.275,5101.84,34298.89,6.232,17.973,20.059,0.806,245.507,0.104,-1.821,16.693,0,32,2,CIV
7,6.6,0.5,1.4,102.0,0.5,18.0,36.1,0.75,51.1,-4.345,15.684,42.305,18.983,25.876,3642.28,22854.84,3.721,26.053,30.393,2.452,232.674,0.073,22.781,-2.217,0,33,2,CMR
8,0.0,0.25,0.0,102.0,0.75,27.7,74.8,0.75,50.7,-3.215,10.836,15.003,12.859,86.791,1097.95,83048.34,4.39,8.547,12.626,4.705,836.225,0.074,-13.012,-7.109,0,34,1,COD
9,0.0,1.0,0.0,101.9,1.0,17.9,54.2,0.75,0.0,0.411,26.726,81.695,22.022,4.568,4496.77,7493.81,-0.431,22.628,22.217,2.207,350.076,0.016,-8.808,0.277,0,35,2,COG
